source,target
Luke Mogulson,Kim Barker
Scott Shadian,Kim Barker
Blumenthal,Kim Barker
Kim Barker,Funding
Funding,Kam Air
Doha,Kam Air
Kim Barker,9 other journalists
Kim Barker,Hazami
9 other journalists,Hazami
Kam Air,Doha
9 other journalists,700 Journalists and Family Members
9 other journalists,Abbas Dollar
Abbas Dollar,Golden Castle
9 other journalists,Habib
Habib,Habib Guest House
9 other journalists,Shawn
Shawn,Shawn Guest House
Ghayour,700 Journalists and Family Members
Hazami,700 Journalists and Family Members
Kim Barker,Elizabeth Rubin
Kim Barker,Ilaha Eli Omar
Ghayour,700 Journalists and Family Members
Ilaha Eli Omar,Elizabeth Rubin
Ilaha Eli Omar,Hazami
Elizabeth Rubin,Edi Rama
Edi Rama,Visas
Elizabeth Rubin,Ghayour
Ghayour,Family Members
Ghayour,Najib Sharifi
Ghayour,3 safe houses
Ghayour,Afghan Journalists
Najib Sharifi,40 staff
Najib Sharifi,Afghan Journalists
Afghan Journalists,3 safe houses
40 staff,Afghan Journalists
40 staff,3 safe houses
